ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;TIPO;TOTAL_ELEM
"17991";"Área Infantil";"152";"PUEBLO NUEVO";"15";"CIUDAD LINEAL";"OPERATIVO";"447021.3";"4474196.093";"ETRS89";40.41670370;-3.62446280;"CALLE";"MALMOE";"17";"28022";"C · CALLE MALMOE , ASCENDIENTE 1: 152 · PUEBLO NU";"20144473";"2008-01-01 00:00:00.0";"15097";"AE21";"INFANTIL";15
"17993";"Área Infantil";"152";"PUEBLO NUEVO";"15";"CIUDAD LINEAL";"OPERATIVO";"446042.529";"4475292.739";"ETRS89";40.42652005;-3.63609201;"CALLE";"SANTURCE";"64";"28017";"C · CALLE EMILIO FERRARI , ASCENDIENTE 1: 152 · P";"20161585";"2001-01-01 00:00:00.0";"15099";"AE21";"INFANTIL";7
"17995";"Área Infantil";"153";"QUINTANA";"15";"CIUDAD LINEAL";"OPERATIVO";"445826.234";"4476612.037";"ETRS89";40.43839098;-3.63875416;"CALLE";"ARTURO SORIA";"5";"28027";"C · CALLE ARTURO SORIA 01 , ASCENDIENTE 1: 153 ·";"20038844";"2008-01-01 00:00:00.0";"15101";"AE21";"INFANTIL";6
"17997";"Área Infantil";"154";"LA CONCEPCIÓN";"15";"CIUDAD LINEAL";"OPERATIVO";"445592.979";"4477114.845";"ETRS89";40.44290532;-3.64154733;"CALLE";"ARTURO SORIA";"52";"28027";"C · CALLE ARTURO SORIA 52 , ASCENDIENTE 1: 154 ·";"11110387";"2006-01-01 00:00:00.0";"15103";"AE21";"INFANTIL";6
"17999";"Área Infantil";"155";"SAN PASCUAL";"15";"CIUDAD LINEAL";"OPERATIVO";"445034.373";"4477462.375";"ETRS89";40.44599932;-3.64816387;"CALLE";"ARTURO SORIA";"77";"28027";"C · CALLE ARTURO SORIA 77 , ASCENDIENTE 1: 155 ·";"20039134";"2004-01-01 00:00:00.0";"15105";"AE21";"INFANTIL";11
"18001";"Área Infantil";"157";"COLINA";"15";"CIUDAD LINEAL";"OPERATIVO";"444091.396";"4478894.28";"ETRS89";40.45883575;-3.65940901;"CALLE";"ARTURO SORIA";"193";"28043";"C · CALLE ARTURO SORIA 198 , ASCENDIENTE 1: 157 ·";"11111982";"2007-01-01 00:00:00.0";"15107";"AE21";"INFANTIL";36
"18003";"Área Infantil";"159";"COSTILLARES";"15";"CIUDAD LINEAL";"OPERATIVO";"443516.627";"4479968.797";"ETRS89";40.46847663;-3.66628327;"CALLE";"ARTURO SORIA";"256";"28033";"C · CALLE ARTURO SORIA 256 , ASCENDIENTE 1: 159 ·";"11112454";"2004-01-01 00:00:00.0";"15110";"AE21";"INFANTIL";9
"18005";"Área Infantil";"159";"COSTILLARES";"15";"CIUDAD LINEAL";"OPERATIVO";"443492.849";"4480087.865";"ETRS89";40.46954764;-3.66657435;"CALLE";"ARTURO SORIA";"264";"28033";"C · CALLE ARTURO SORIA 264 , ASCENDIENTE 1: 159 ·";"11112456";"2005-01-01 00:00:00.0";"15112";"AE21";"INFANTIL";14
"18007";"Área Infantil";"159";"COSTILLARES";"15";"CIUDAD LINEAL";"OPERATIVO";"443376.931";"4480666.818";"ETRS89";40.47475521;-3.66799334;"CALLE";"ARTURO SORIA";"302";"28033";"C · CALLE ARTURO SORIA 302 , ASCENDIENTE 1: 159 ·";"11112592";"2005-01-01 00:00:00.0";"15114";"AE21";"INFANTIL";27
"18009";"Área Infantil";"154";"LA CONCEPCIÓN";"15";"CIUDAD LINEAL";"OPERATIVO";"444236.855";"4476168.864";"ETRS89";40.43429358;-3.65745423;"PASAJE";"VIRGEN DE LA ALEGRIA";"5";"28027";"C · CALLE VIRGEN DE LA ROCA , ASCENDIENTE 1: 154";"20132900";"2006-01-01 00:00:00.0";"15117";"AE21";"INFANTIL";6
"18010";"Área Infantil";"154";"LA CONCEPCIÓN";"15";"CIUDAD LINEAL";"OPERATIVO";"444204.322";"4476174.293";"ETRS89";40.43434031;-3.65783825;"CALLE";"VIRGEN DE LA ROCA";"14";"28027";"C · CALLE VIRGEN DE LA ROCA , ASCENDIENTE 1: 154";"20002871";"2004-01-01 00:00:00.0";"15118";"AE21";"INFANTIL";4
"18012";"Área Infantil";"156";"SAN JUAN BAUTISTA";"15";"CIUDAD LINEAL";"OPERATIVO";"443973.846";"4478004.294";"ETRS89";40.45081040;-3.66071681;"CALLE";"RAFAEL BERGAMIN";"7";"28043";"C · CALLE RAFAEL BERGAMIN , ASCENDIENTE 1: 156 ·";"31006975";"2004-01-01 00:00:00.0";"15120";"AE21";"INFANTIL";22
"18014";"Área Infantil";"151";"VENTAS";"15";"CIUDAD LINEAL";"OPERATIVO";"445107.534";"4475669.246";"ETRS89";40.42985067;-3.64714629;"CALLE";"JUAN DE AROLAS";"14";"28017";"C · CALLE SERVANDO BATANERO 36 , ASCENDIENTE 1: 1";"20038582";"2004-01-01 00:00:00.0";"15122";"AE21";"INFANTIL";6
